,Destinos,Iniciales
0,A CORUÑA ,LCG
1,ABU DHABI ,AUH
2,AGADIR/AL MASSIRA ,AGA
3,ALICANTE-ELCHE ,ALC
4,ALMERIA ,LEI
5,AMMAN ,AMM
6,AMSTERDAM /SCHIPHOL ,AMS
7,ANDORRA / LA SEU D'URGELL ,LEU
8,ARGEL/ HOUARI BOUMEDIEN ,ALG
9,ASTURIAS ,OVD
10,ATENAS ,ATH
11,ATLANTA ,ATL
12,BADAJOZ ,BJZ
13,BARCELONA-EL PRAT JOSEP TARRADELLAS ,BCN
14,BARI /PALESE ,BRI
15,BASEL /MULHOUSE ,BSL
16,BEIJING / CAPITAL ,PEK
17,BEIRUT ,BEY
18,BELGRADO ,BEG
19,BERLIN-BRANDERBURG WILLY BRANDT ,BER
20,BILBAO ,BIO
21,BILLUND ,BLL
22,BIRMINGHAM / INTERNACIONAL ,BHX
23,BOGOTA /EL DORADO ,BOG
24,BOLONIA ,BLQ
25,BOSTON ,BOS
26,BRISTOL ,BRS
27,BRUSELAS ,BRU
28,BRUSELAS /CHARLEROI ,CRL
29,BUCAREST ,OTP
30,BUDAPEST ,BUD
31,BUENOS AIRES/MINISTRO PISTARINI ,EZE
32,BURDEOS ,BOD
33,CALI ,CLO
34,CANCUN ,CUN
35,CARACAS ,CCS
36,CARTAGENA/RAFAEL NUÑEZ ,CTG
37,CASABLANCA /MOHAMED V ,CMN
38,CASTELLÓN ,CDT
39,CATANIA /FONTANAROSSA ,CTA
40,CHICAGO-OHARE INTL. ,ORD
41,CHONGQING / JIANGBEI ,CKG
42,CLUJ NAPOCA/SOMESENI ,CLJ
43,COCHABAMBA/JORGE WILSTERMAN ,CBB
44,COPENHAGUE ,CPH
45,CORDOBA ,COR
46,CRACOVIA ,KRK
47,CRAIOVA ,CRA
48,DAKAR / BLAISE DIAGNE ,DSS
49,DALLAS-FORT WORTH INTL. ,DFW
50,DOHA / HAMAD INTERNATIONAL ,DOH
51,DUBAI ,DXB
52,DUBLIN ,DUB
53,DUSSELDORF ,DUS
54,EDIMBURGO ,EDI
55,EINDHOVEN ,EIN
56,EL CAIRO ,CAI
57,ESTAMBUL ,IST
58,ESTAMBUL/SABIHA GOKCEN ,SAW
59,ESTOCOLMO /ARLANDA ,ARN
60,ESTRASBURGO ,SXB
61,FARO ,FAO
62,FEZ /SAIS ,FEZ
63,FILADELFIA ,PHL
64,FLORENCIA / PERETOLA ,FLR
65,FRANKFURT ,FRA
66,FUERTEVENTURA ,FUE
67,GINEBRA ,GVA
68,GRAN CANARIA ,LPA
69,GRANADA-JAÉN F.G.L. ,GRX
70,GUADALAJARA ,GDL
71,GUAYAQUIL/SIMON BOLIVAR ,GYE
72,HAMBURGO ,HAM
73,HASSI-MESSAOUD/OUED IRARA ,HME
74,HELSINKI ,HEL
75,HONG KONG ,HKG
76,HURGHADA ,HRG
77,IASI ,IAS
78,IBIZA ,IBZ
79,JEDDAH ,JED
80,JEREZ DE LA FRONTERA ,XRY
81,KAUNAS ,KUN
82,KEFLAVIK INTERNATIONAL ,KEF
83,KUUSAMO ,KAO
84,KUWAIT ,KWI
85,LA HABANA-J.MARTI ,HAV
86,LA PALMA ,SPC
