,Airport,Type,City,Country,IATA,ICAO,FAA
0,Anaa,Medium airport,,French Polynesia,AAA,NTGA,
1,Arrabury,Small airport,,Australia,AAB,YARY,
2,El Arish International,Medium airport,El Arish,Egypt,AAC,HEAR,
3,Ad-DabbahClosed,Closed,Ad-Dabbah,Sudan,AAD,,
4,Rabah Bitat,Medium airport,Annaba,Algeria,AAE,DABB,
5,Apalachicola Regional,Small airport,Apalachicola,United States,AAF,KAAF,AAF
6,Arapoti,Small airport,Arapoti,Brazil,AAG,SSYA,
7,Aachen-Merzbrück,Small airport,Aachen,Germany,AAH,EDKA,
8,Arraias,Small airport,Arraias,Brazil,AAI,SWRA,
9,Cayana Airstrip,Small airport,Awaradam,Suriname,AAJ,SMCA,
10,Buariki,Small airport,Buariki,Kiribati,AAK,NGUK,
11,Aalborg,Large airport,Aalborg,Denmark,AAL,EKYT,
12,Malamala,Medium airport,Malamala,South Africa,AAM,FAMD,
13,Al Ain International,Medium airport,Al Ain,United Arab Emirates,AAN,OMAL,
14,Anaco,Medium airport,Anaco,Venezuela,AAO,SVAN,
15,Andrau AirparkClosed,Closed,Houston,United States,AAP,KAAP,
16,Anapa Vityazevo,Medium airport,Anapa,Russia,AAQ,URKA,
17,Aarhus,Medium airport,Aarhus,Denmark,AAR,EKAH,
18,Apalapsili,Small airport,Apalapsili,Indonesia,AAS,,
19,Altay Air Base,Medium airport,Altay,China,AAT,ZWAT,
20,Asau,Small airport,Asau,Samoa,AAU,NSAU,
21,Allah Valley,Medium airport,Surallah,Philippines,AAV,RPMA,
22,Abbottabad,Small airport,Abbottabad,Pakistan,AAW,OPAB,
23,Romeu Zema,Small airport,Araxá,Brazil,AAX,SBAX,
24,Al Ghaidah International,Medium airport,,Yemen,AAY,OYGD,
25,Quezaltenango,Small airport,Quezaltenango,Guatemala,AAZ,MGQZ,
26,Abakan,Medium airport,Abakan,Russia,ABA,UNAA,
27,Asaba International,Medium airport,Asaba,Nigeria,ABB,DNAS,
28,Albacete-Los Llanos,Medium airport,Albacete,Spain,ABC,LEAB,
29,Abadan,Medium airport,Abadan,Iran,ABD,OIAA,
30,Lehigh Valley International,Medium airport,Allentown,United States,ABE,KABE,ABE
31,Abaiang,Small airport,Abaiang,Kiribati,ABF,NGAB,
32,Abingdon Downs,Small airport,,Australia,ABG,YABI,
33,Alpha,Medium airport,Alpha,Australia,ABH,YAPH,
34,Abilene Regional,Medium airport,Abilene,United States,ABI,KABI,ABI
35,Port Bouet,Medium airport,Abidjan,Côte d'Ivoire,ABJ,DIAP,
36,Kabri Dehar,Small airport,Kabri Dehar,Ethiopia,ABK,HAKD,
37,Ambler,Medium airport,Ambler,United States,ABL,PAFM,AFM
38,Northern Peninsula,Small airport,Bamaga,Australia,ABM,YNPE,
39,Albina,Small airport,Albina,Suriname,ABN,SMBN,
40,AboissoClosed,Closed,Aboisso,Côte d'Ivoire,ABO,,
41,Albuquerque International Sunport,Large airport,Albuquerque,United States,ABQ,KABQ,ABQ
42,Aberdeen Regional,Medium airport,Aberdeen,United States,ABR,KABR,ABR
43,Abu Simbel,Medium airport,Abu Simbel,Egypt,ABS,HEBL,
44,Al Baha,Medium airport,,Saudi Arabia,ABT,OEBA,
45,Haliwen,Small airport,Atambua-Timor Island,Indonesia,ABU,WATA,
46,Nnamdi Azikiwe International,Large airport,Abuja,Nigeria,ABV,DNAA,
47,AbauClosed,Closed,Abau,Papua New Guinea,ABW,,
48,Albury,Medium airport,Albury,Australia,ABX,YMAY,
49,Southwest Georgia Regional,Medium airport,Albany,United States,ABY,KABY,ABY
50,Aberdeen Dyce,Large airport,Aberdeen,United Kingdom,ABZ,EGPD,
51,General Juan N Alvarez International,Large airport,Acapulco,Mexico,ACA,MMAA,
52,Antrim County,Small airport,Bellaire,United States,ACB,KACB,ACB
53,Kotoka International,Large airport,Accra,Ghana,ACC,DGAA,
54,Alcides Fernández,Small airport,Acandí,Colombia,ACD,SKAD,
55,Lanzarote,Medium airport,Lanzarote Island,Spain,ACE,GCRR,
56,Brisbane Archerfield,Small airport,Brisbane,Australia,ACF,YBAF,
57,St Gallen Altenrhein,Medium airport,Altenrhein,Switzerland,ACH,LSZR,
58,Alderney,Medium airport,Saint Anne,Guernsey,ACI,EGJA,
59,Anuradhapura Air Force Base,Medium airport,Anuradhapura,Sri Lanka,ACJ,VCCA,
60,Nantucket Memorial,Medium airport,Nantucket,United States,ACK,KACK,ACK
61,Aguaclara,Small airport,Aguaclara,Colombia,ACL,,
62,Arica,Small airport,Arica,Colombia,ACM,,
63,Ciudad Acuña New International,Small airport,Ciudad Acuña,Mexico,ACN,MMCC,
64,AsconaClosed,Closed,Ascona,Switzerland,ACO,LSZD,
65,Sahand,Small airport,Maragheh,Iran,ACP,OITM,
66,Araracuara,Small airport,Araracuara,Colombia,ACR,SKAC,
67,Achinsk,Medium airport,Achinsk,Russia,ACS,UNKS,
68,Waco Regional,Medium airport,Waco,United States,ACT,KACT,ACT
69,Achutupo,Small airport,Achutupo,Panama,ACU,,
70,Arcata,Medium airport,Arcata/Eureka,United States,ACV,KACV,ACV
71,Xingyi,Medium airport,Xingyi,China,ACX,ZUYI,
72,Atlantic City International,Medium airport,Atlantic City,United States,ACY,KACY,ACY
73,Zabol,Medium airport,,Iran,ACZ,OIZB,
74,Adana,Large airport,Adana,Turkey,ADA,LTAF,
75,Adnan Menderes International,Large airport,İzmir,Turkey,ADB,LTBJ,
76,Addis Ababa Bole International,Large airport,Addis Ababa,Ethiopia,ADD,HAAB,
77,Aden International,Medium airport,Aden,Yemen,ADE,OYAA,
78,Adıyaman,Medium airport,Adıyaman,Turkey,ADF,LTCP,
79,Lenawee County,Small airport,Adrian,United States,ADG,KADG,ADG
80,Aldan,Small airport,Aldan,Russia,ADH,UEEA,
81,Arandis,Medium airport,Arandis,Namibia,ADI,FYAR,
82,Amman-Marka International,Medium airport,Amman,Jordan,ADJ,OJAM,
83,Adak,Medium airport,Adak Island,United States,ADK,PADK,ADK
84,Adelaide International,Medium airport,Adelaide,Australia,ADL,YPAD,
85,Ardmore Municipal,Small airport,Ardmore,United States,ADM,KADM,ADM
86,Andes,Small airport,Andes,Colombia,ADN,SKAN,
87,Andamooka,Small airport,,Australia,ADO,YAMK,
88,Ampara,Medium airport,Ampara,Sri Lanka,ADP,VCCG,
89,Kodiak,Medium airport,Kodiak,United States,ADQ,PADQ,ADQ
90,Robert F Swinnie,Small airport,Andrews,United States,ADR,KPHH,PHH
91,Addison,Small airport,Dallas,United States,ADS,KADS,ADS
92,Ada Regional,Small airport,Ada,United States,ADT,KADH,ADH
93,Ardabil,Medium airport,Ardabil,Iran,ADU,OITL,
94,Andrews Air Force Base,Large airport,Camp Springs,United States,ADW,KADW,ADW
95,RAF Leuchars,Medium airport,St. Andrews,United Kingdom,ADX,EGQL,
96,Alldays,Small airport,Alldays,South Africa,ADY,FAAL,
97,Gustavo Rojas Pinilla International,Medium airport,San Andrés,Colombia,ADZ,SKSP,
98,Abemama Atoll,Small airport,Abemama Atoll,Kiribati,AEA,NGTB,
99,Baise Youjiang,Medium airport,Baise,China,AEB,ZGBS,
0,AlenevaClosed,Closed,Aleneva,United States,AED,,
